date,ticker,action
1996-01-02,AAL,added
1996-01-02,AAMRQ,added
1996-01-02,AAPL,added
1996-01-02,ABI,added
1996-01-02,ABS,added
1996-01-02,ABT,added
1996-01-02,ABX,added
1996-01-02,ACKH,added
1996-01-02,ACV,added
1996-01-02,ADM,added
1996-01-02,ADP,added
1996-01-02,ADSK,added
1996-01-02,AEE,added
1996-01-02,AEP,added
1996-01-02,AET,added
1996-01-02,AGC,added
1996-01-02,AGN,added
1996-01-02,AHM,added
1996-01-02,AIG,added
1996-01-02,AIT,added
1996-01-02,AL,added
1996-01-02,ALL,added
1996-01-02,AM,added
1996-01-02,AMAT,added
1996-01-02,AMD,added
1996-01-02,AMGN,added
1996-01-02,AMH,added
1996-01-02,AMP,added
1996-01-02,AN,added
1996-01-02,ANDW,added
1996-01-02,ANV,added
1996-01-02,APD,added
1996-01-02,AR,added
1996-01-02,ARC,added
1996-01-02,ARNC,added
1996-01-02,AS,added
1996-01-02,ASC,added
1996-01-02,ASH,added
1996-01-02,AT,added
1996-01-02,ATI,added
1996-01-02,AVP,added
1996-01-02,AVY,added
1996-01-02,AXP,added
1996-01-02,AZA.A,added
1996-01-02,BA,added
1996-01-02,BAC,added
1996-01-02,BAX,added
1996-01-02,BBI,added
1996-01-02,BC,added
1996-01-02,BCO,added
1996-01-02,BCR,added
1996-01-02,BDK,added
1996-01-02,BDX,added
1996-01-02,BEAM,added
1996-01-02,BEV,added
1996-01-02,BF.B,added
1996-01-02,BFI,added
1996-01-02,BFO,added
1996-01-02,BGG,added
1996-01-02,BHGE,added
1996-01-02,BHMSQ,added
1996-01-02,BK,added
1996-01-02,BKB,added
1996-01-02,BLL,added
1996-01-02,BLS,added
1996-01-02,BLY,added
1996-01-02,BMET,added
1996-01-02,BMS,added
1996-01-02,BMY,added
1996-01-02,BNI,added
1996-01-02,BNL,added
1996-01-02,BOAT,added
1996-01-02,BOL,added
1996-01-02,BR,added
1996-01-02,BSX,added
1996-01-02,BT,added
1996-01-02,BUD,added
1996-01-02,C,added
1996-01-02,CA,added
1996-01-02,CAG,added
1996-01-02,CAL,added
1996-01-02,CAR,added
1996-01-02,CAT,added
1996-01-02,CB,added
1996-01-02,CBB,added
1996-01-02,CBE,added
1996-01-02,CBS,added
1996-01-02,CCB,added
1996-01-02,CCI,added
1996-01-02,CCK,added
1996-01-02,CCTYQ,added
1996-01-02,CEG,added
1996-01-02,CEN,added
1996-01-02,CFL,added
1996-01-02,CG,added
1996-01-02,CGP,added
1996-01-02,CHA,added
1996-01-02,CHRS,added
1996-01-02,CI,added
1996-01-02,CIN,added
1996-01-02,CL,added
1996-01-02,CLX,added
1996-01-02,CMA,added
1996-01-02,CMB,added
1996-01-02,CMCSA,added
1996-01-02,CMI,added
1996-01-02,CNG,added
1996-01-02,CNP,added
1996-01-02,CNW,added
1996-01-02,COMS,added
1996-01-02,COP,added
1996-01-02,COST,added
1996-01-02,COV,added
1996-01-02,CPB,added
1996-01-02,CPQ,added
1996-01-02,CR,added
1996-01-02,CRR,added
1996-01-02,CSCO,added
1996-01-02,CSR,added
1996-01-02,CSX,added
1996-01-02,CTB,added
1996-01-02,CTX,added
1996-01-02,CVS,added
1996-01-02,CVX,added
1996-01-02,CYM,added
1996-01-02,CYR,added
1996-01-02,D,added
1996-01-02,DALRQ,added
1996-01-02,DCNAQ,added
1996-01-02,DD,added
1996-01-02,DDS,added
1996-01-02,DE,added
1996-01-02,DEC,added
1996-01-02,DGN,added
1996-01-02,DI,added
1996-01-02,DIGI,added
1996-01-02,DIS,added
1996-01-02,DJ,added
1996-01-02,DLX,added
1996-01-02,DOV,added
1996-01-02,DOW,added
1996-01-02,DRI,added
1996-01-02,DTE,added
1996-01-02,DUK,added
1996-01-02,DWD,added
1996-01-02,DXC,added
1996-01-02,EC,added
1996-01-02,ECH,added
1996-01-02,ECL,added
1996-01-02,ECO,added
1996-01-02,ED,added
1996-01-02,EFU,added
1996-01-02,EIX,added
1996-01-02,EKDKQ,added
1996-01-02,EMN,added
1996-01-02,EMR,added
1996-01-02,ENRNQ,added
1996-01-02,ENS,added
1996-01-02,ETN,added
1996-01-02,ETR,added
1996-01-02,ETS,added
1996-01-02,EXC,added
1996-01-02,F,added
1996-01-02,FBF,added
1996-01-02,FBO,added
1996-01-02,FCN,added
1996-01-02,FCX,added
1996-01-02,FDC,added
1996-01-02,FDX,added
1996-01-02,FE,added
1996-01-02,FG,added
1996-01-02,FJ,added
1996-01-02,FL,added
1996-01-02,FLMIQ,added
1996-01-02,FLTWQ,added
1996-01-02,FMC,added
1996-01-02,FMCC,added
1996-01-02,FNMA,added
1996-01-02,FTL.A,added
1996-01-02,FWLT,added
1996-01-02,G,added
1996-01-02,GAPTQ,added
1996-01-02,GAS,added
1996-01-02,GD,added
1996-01-02,GDW,added
1996-01-02,GE,added
1996-01-02,GFS.A,added
1996-01-02,GIDL,added
1996-01-02,GIS,added
1996-01-02,GLD,added
1996-01-02,GLK,added
1996-01-02,GLW,added
1996-01-02,GP,added
1996-01-02,GPC,added
1996-01-02,GPS,added
1996-01-02,GPU,added
1996-01-02,GR,added
1996-01-02,GRA,added
1996-01-02,GRN,added
1996-01-02,GSX,added
1996-01-02,GT,added
1996-01-02,GTE,added
1996-01-02,GWF,added
1996-01-02,GWW,added
1996-01-02,H,added
1996-01-02,HAL,added
1996-01-02,HAS,added
1996-01-02,HCA,added
1996-01-02,HD,added
1996-01-02,HDLM,added
1996-01-02,HES,added
1996-01-02,HET,added
1996-01-02,HI,added
1996-01-02,HIG,added
1996-01-02,HLT,added
1996-01-02,HM,added
1996-01-02,HNZ,added
1996-01-02,HON,added
1996-01-02,HP,added
1996-01-02,HPC,added
1996-01-02,HPH,added
1996-01-02,HPQ,added
1996-01-02,HRB,added
1996-01-02,HRS,added
1996-01-02,HSH,added
1996-01-02,HSY,added
1996-01-02,HUM,added
1996-01-02,I,added
1996-01-02,IBM,added
1996-01-02,IFF,added
1996-01-02,IKN,added
1996-01-02,INCLF,added
1996-01-02,INGR,added
1996-01-02,INTC,added
1996-01-02,IP,added
1996-01-02,IPG,added
1996-01-02,IR,added
1996-01-02,ITT,added
1996-01-02,ITW,added
1996-01-02,JAVA,added
1996-01-02,JCI,added
1996-01-02,JCP,added
1996-01-02,JH,added
1996-01-02,JNJ,added
1996-01-02,JOS,added
1996-01-02,JP,added
1996-01-02,JPM,added
1996-01-02,JWN,added
1996-01-02,K,added
1996-01-02,KATE,added
1996-01-02,KBH,added
1996-01-02,KEY,added
1996-01-02,KM,added
1996-01-02,KMB,added
1996-01-02,KMG,added
1996-01-02,KO,added
1996-01-02,KR,added
1996-01-02,KRB,added
1996-01-02,KRI,added
1996-01-02,KWP,added
1996-01-02,L,added
1996-01-02,LB,added
1996-01-02,LDG,added
1996-01-02,LDW.B,added
1996-01-02,LLX,added
1996-01-02,LLY,added
1996-01-02,LMT,added
1996-01-02,LNC,added
1996-01-02,LOR,added
1996-01-02,LOW,added
1996-01-02,LPX,added
1996-01-02,LSI,added
1996-01-02,LUB,added
1996-01-02,LUV,added
1996-01-02,M,added
1996-01-02,MAS,added
1996-01-02,MAT,added
1996-01-02,MAY,added
1996-01-02,MCD,added
1996-01-02,MCIC,added
1996-01-02,MCO,added
1996-01-02,MD,added
1996-01-02,MDP,added
1996-01-02,MDR,added
1996-01-02,MDT,added
1996-01-02,MEA,added
1996-01-02,MEE,added
1996-01-02,MEL,added
1996-01-02,MER,added
1996-01-02,MII,added
1996-01-02,MIL,added
1996-01-02,MKG,added
1996-01-02,MMC,added
1996-01-02,MMM,added
1996-01-02,MNR,added
1996-01-02,MO,added
1996-01-02,MOB,added
1996-01-02,MRK,added
1996-01-02,MRO,added
1996-01-02,MS,added
1996-01-02,MSFT,added
1996-01-02,MSI,added
1996-01-02,MST,added
1996-01-02,MTLQQ,added
1996-01-02,MU,added
1996-01-02,MWI,added
1996-01-02,MWV,added
1996-01-02,MYG,added
1996-01-02,MZIAQ,added
1996-01-02,NAE,added
1996-01-02,NAV,added
1996-01-02,NC,added
1996-01-02,NCC,added
1996-01-02,NEE,added
1996-01-02,NEM,added
1996-01-02,NKE,added
1996-01-02,NLC,added
1996-01-02,NMK,added
1996-01-02,NOC,added
1996-01-02,NOVL,added
1996-01-02,NRTLQ,added
1996-01-02,NSC,added
1996-01-02,NSI,added
1996-01-02,NSM,added
1996-01-02,NUE,added
1996-01-02,NWL,added
1996-01-02,NYN,added
1996-01-02,NYT,added
1996-01-02,OAT,added
1996-01-02,OKE,added
1996-01-02,OM,added
1996-01-02,OMX,added
1996-01-02,ONE,added
1996-01-02,ORCL,added
1996-01-02,ORX,added
1996-01-02,OWENQ,added
1996-01-02,OXY,added
1996-01-02,PAC,added
1996-01-02,PAS,added
1996-01-02,PBI,added
1996-01-02,PBY,added
1996-01-02,PCAR,added
1996-01-02,PCG,added
1996-01-02,PCH,added
1996-01-02,PD,added
1996-01-02,PDG,added
1996-01-02,PEG,added
1996-01-02,PEL,added
1996-01-02,PEP,added
1996-01-02,PET,added
1996-01-02,PFE,added
1996-01-02,PG,added
1996-01-02,PGL,added
1996-01-02,PGN,added
1996-01-02,PH,added
1996-01-02,PHA,added
1996-01-02,PHB,added
1996-01-02,PHM,added
1996-01-02,PKI,added
1996-01-02,PLL,added
